id_parciaiscore,id_secagenscore,subprojecto,material,potencia,tensao,massat,massai,cliente,tipotransf
281,134,E1110768A ,5,315,230,90000,4000,"Efacec Power Transformers, Inc.                   ",NULL
302,145,E1110806A ,5,17,69,11436,571,"Efacec Power Transformers, Inc.                   ",NULL
306,147,E1110847A ,5,60,230,64067,3948,"Union Fenosa Distribucion, S.A.                   ",NULL
307,147,E1110808A ,5,17,69,11436,571,"Efacec Power Transformers, Inc.                   ",NULL
308,147,E1110855A ,5,20,60,19089,891,ANGOLA                                            ,NULL
310,149,E1110843A ,5,36,138,16000,766,select nama:ef01 from tccom100 where bpi          ,NULL
311,149,E1110809A ,5,17,69,11436,571,"Efacec Power Transformers, Inc.                   ",NULL
312,150,E1110810A ,5,120,220,91638,4659,National Contracting Co. Ltd                      ,NULL
313,151,E1110850A ,5,37,230,26703,979,Union Fenosa Generadora Torito S.A                ,NULL
314,151,E1110851A ,5,37,230,26703,979,Union Fenosa Generadora Torito S.A                ,NULL
315,152,E1110759A ,5,45,115,28951,1421,"Efacec Power Transformers, Inc.                   ",NULL
316,153,E1110795A ,5,20,138,11266,479,select nama:ef01 from tccom100 where bpi          ,NULL
224,101,E1110747A ,5,40,60,34718,1356,"Efacec Engenharia e Sistemas, S.A.                ",NULL
225,101,E1110772A ,5,120,230,84907,5114,"Ren-Rede Eléctrica Nacional,SA.                   ",NULL
251,114,E1110750A ,5,30,115,966,10604,Edemet S.A                                        ,NULL
317,154,E1110859A ,5,30,115,32745,1283,Sistema de Transmisión Del Sur SA                 ,NULL
235,107,E1110764A ,5,17,69,11250,454,"Efacec Power Transformers, Inc.                   ",NULL
236,107,E1110765A ,5,17,69,11250,454,"Efacec Power Transformers, Inc.                   ",NULL
318,154,E1110860A ,5,16,69,21526,921,Sistema de Transmisión Del Sur SA                 ,NULL
319,155,E1110507A ,5,20,67,19041,795,Andritz Hydro GmbH - Sucursal                     ,NULL
320,155,E1110508A ,5,20,67,19041,795,Andritz Hydro GmbH - Sucursal                     ,NULL
321,156,E1110863A ,5,90,33,43636,1849,Scottish and Southern Energy plc                  ,NULL
322,157,E1110618A ,5,86,67,46645,1355,"Efacec Engenharia e Sistemas, S.A.                ",NULL
323,157,E1110845A ,5,60,138,25150,1751,Equador                                           ,NULL
325,159,E1110817A ,5,40,60,34718,1356,National Contracting Co. Ltd                      ,NULL
326,159,E1110867A ,5,120,33,60453,3317,Scottish and Southern Energy plc                  ,NULL
327,160,E1110818A ,5,40,60,34718,1356,National Contracting Co. Ltd                      ,NULL
328,161,E1110768A ,5,315,230,98470,4001,"Efacec Power Transformers, Inc.                   ",NULL
221,100,E1110775A ,5,50,115,30400,1322,Edemet S.A                                        ,NULL
222,100,E1110760A ,5,17,69,11250,454,"Efacec Power Transformers, Inc.                   ",NULL
223,100,E1110761A ,5,17,69,11250,454,"Efacec Power Transformers, Inc.                   ",NULL
232,105,E1110773A ,5,120,230,84907,5114,"Ren-Rede Eléctrica Nacional,SA.                   ",NULL
283,136,E1110842A ,5,42,115,16000,764,venezuela                                         ,NULL
284,136,V11100058 ,4,160,230,10000,1500,mocambique                                        ,NULL
329,162,E1110819A ,5,40,60,34718,1356,National Contracting Co. Ltd                      ,NULL
330,162,E1110820A ,5,40,60,34718,1356,National Contracting Co. Ltd                      ,NULL
333,164,E1110861A ,5,16,69,21526,921,Sistema de Transmisión Del Sur SA                 ,NULL
334,164,E1110862A ,5,16,69,22189,996,Empresa Eléctrica de la Frontera SA               ,NULL
335,165,E1110821A ,5,40,60,34718,1356,National Contracting Co. Ltd                      ,NULL
338,167,E1110865A ,5,10,69,18477,826,Sistema de Transmisión Del Sur SA                 ,NULL
339,167,E1110866A ,5,10,69,18477,826,Sistema de Transmisión Del Sur SA                 ,NULL
340,168,E1110864A ,5,90,33,43636,1849,Scottish and Southern Energy plc                  ,NULL
341,169,E1110874A ,5,20,60,14993,556,"Efacec Engenharia e Sistemas, S.A.                ",NULL
342,169,E1110811A ,4,120,220,91638,4659,National Contracting Co. Ltd                      ,NULL
244,111,E1110840A ,5,20,63,599,8820,"Petróleos de Portugal-Petrogal, SA                ",NULL
245,111,E1110841A ,5,20,63,599,8820,"Petróleos de Portugal-Petrogal, SA                ",NULL
246,111,E1110793A ,5,17,69,11250,454,"Efacec Power Transformers, Inc.                   ",NULL
349,174,E1110857A ,5,40,60,34721,1356,"Efacec Engenharia e Sistemas, S.A.                ",NULL
350,174,E1110849A ,5,112,115,61298,2118,Comisión Ejecutiva                                ,NULL
353,176,E1110852A ,5,37,230,36596,1993,Union Fenosa Generadora Torito S.A                ,NULL
355,178,E1110875A ,5,20,60,14993,556,"Efacec Engenharia e Sistemas, S.A.                ",NULL
356,178,E1110876A ,5,20,60,14999,556,"Efacec Engenharia e Sistemas, S.A.                ",NULL
357,178,E1110877A ,5,20,60,14999,556,"Efacec Engenharia e Sistemas, S.A.                ",NULL
360,180,E8010348A ,5,30,136,27600,1405,GNUF                                              ,NULL
361,180,E1110814A ,5,120,220,91638,4659,National Contracting Co. Ltd                      ,NULL
363,182,E1110814A ,5,120,220,91638,4659,National Contracting Co. Ltd                      ,NULL
364,183,E1110872A ,5,70,225,45987,2107,Constellium France                                ,NULL
365,183,E1110856A ,5,10,30,11694,409,select nama:ef01 from tccom100 where bpi          ,NULL
366,184,E1110872A ,5,70,225,45987,2107,Constellium France                                ,NULL
367,184,E1110856A ,5,10,30,11694,409,select nama:ef01 from tccom100 where bpi          ,NULL
249,113,E1110840A ,5,20,63,599,8820,"Petróleos de Portugal-Petrogal, SA                ",NULL
250,113,E1110841A ,5,20,63,599,8820,"Petróleos de Portugal-Petrogal, SA                ",NULL
374,190,E1110913A ,5,35,132,17673,748,SM EDESUR                                         ,NULL
375,190,E1110914A ,5,35,132,17673,748,SM EDESUR                                         ,NULL
382,196,E1110917A ,5,20,60,19937,871,"EDP Distribuição Energia, S. A.                   ",NULL
384,198,E1110899A ,5,17,69,11436,571,"Efacec USA, Inc.                                  ",NULL
385,198,E1110900A ,5,17,69,11436,571,"Efacec USA, Inc.                                  ",NULL
386,198,E1110901A ,5,17,69,11436,571,"Efacec USA, Inc.                                  ",NULL
387,199,E1110916A ,5,31,60,24408,1107,"EDP Distribuição Energia, S. A.                   ",NULL
388,199,E1110918A ,5,20,60,19937,871,"EDP Distribuição Energia, S. A.                   ",NULL
389,199,E1110913A ,5,35,132,17673,748,***********************************               ,NULL
391,201,E1110891A ,5,50,115,43000,1678,"Elektra Noreste, S.A.                             ",NULL
392,201,E1110926A ,5,20,60,19937,871,"EDP Distribuição Energia, S. A.                   ",NULL
393,202,E1110913A ,5,35,132,17673,748,***********************************               ,NULL
394,202,E1110914A ,5,35,132,17673,748,argentina                                         ,NULL
399,204,E1110844A ,5,50,138,21309,1355,oncor                                             ,NULL
265,122,E1110777A ,5,14,34,11041,609,AMEREM-USA                                        ,NULL
269,126,E1110826A ,5,200,230,95000,3802,"Corporación Eléctrica Nacional, S.A               ",NULL
274,131,E1110795A ,5,20,138,11266,479,SM PEPCO-EUA                                      ,NULL
275,131,E1110843A ,5,36,138,16000,766,venezuela                                         ,NULL
276,131,E1110755A ,5,40,62,26435,890,"Lydec, Lyonnaise des                              ",NULL
309,148,E1110809A ,5,17,69,11436,571,"Efacec Power Transformers, Inc.                   ",NULL
346,172,E1110811A ,5,120,220,91638,4659,National Contracting Co. Ltd                      ,NULL
347,172,E1110857A ,4,40,60,34721,1356,"Efacec Engenharia e Sistemas, S.A.                ",NULL
381,195,E1110828A ,5,200,230,95000,3802,"Corporación Eléctrica Nacional, S.A               ",NULL
390,200,E1110890A ,5,170,150,92573,4155,"Ren-Rede Eléctrica Nacional,SA.                   ",NULL
400,205,E1110844A ,5,50,138,21309,1355,oncor                                             ,NULL
401,206,E1110878A ,5,17,69,11436,571,"Efacec Power Transformers, Inc.                   ",NULL
402,206,E1110879A ,5,17,69,11436,571,"Efacec Power Transformers, Inc.                   ",NULL
403,207,E1110880A ,5,17,69,11436,571,"Efacec Power Transformers, Inc.                   ",NULL
404,207,E1110920A ,5,60,230,21912,1072,PSEG                                              ,NULL
405,208,E1110880A ,5,17,69,11436,571,"Efacec Power Transformers, Inc.                   ",NULL
331,163,E1110861A ,5,16,69,21526,921,Sistema de Transmisión Del Sur SA                 ,NULL
332,163,E1110862A ,5,16,69,22189,996,Empresa Eléctrica de la Frontera SA               ,NULL
336,166,E1110865A ,5,10,69,18477,826,Sistema de Transmisión Del Sur SA                 ,NULL
337,166,E1110866A ,5,10,69,18477,826,Sistema de Transmisión Del Sur SA                 ,NULL
343,170,E1110868A ,5,50,110,35526,1411,"Gaeltec Utilities, Ltd                            ",NULL
344,170,E1110679A ,5,120,275,73500,3879,Scottish and Southern Energy plc                  ,NULL
345,171,E1110680A ,5,120,275,73500,3879,Scottish and Southern Energy plc                  ,NULL
358,179,E8010348A ,5,30,136,27600,1405,GNUF                                              ,NULL
359,179,E1110814A ,4,120,220,91638,4659,National Contracting Co. Ltd                      ,NULL
370,186,E1110858A ,5,40,60,34721,1356,"Efacec Engenharia e Sistemas, S.A.                ",NULL
373,189,E1110844A ,5,50,138,21309,1355,SM ONCOR - EUA                                    ,NULL
379,193,E1110828A ,5,200,230,95000,3802,"Corporación Eléctrica Nacional, S.A               ",NULL
383,197,E1110884A ,5,80,165,58913,2516,Aarhus Kommune                                    ,NULL
406,209,E1110901A ,5,17,69,11436,571,"Efacec USA, Inc.                                  ",NULL
407,210,E1110881A ,5,120,220,91638,4659,"ENERGOINVEST DD, SARAJEVO                         ",NULL
408,210,V11100079 ,1,160,230,8000,950,moçambique                                        ,NULL
368,185,E1110872A ,5,70,225,45987,2107,Constellium France                                ,NULL
369,185,E1110856A ,5,10,30,11694,409,select nama:ef01 from tccom100 where bpi          ,NULL
376,191,E1110799A ,4,170,220,48300,700,RTE Réseau de Transport                           ,NULL
377,191,E1110915A ,5,35,132,17673,748,EDESUR                                            ,NULL
398,204,E1110880A ,5,17,69,11436,571,"Efacec Power Transformers, Inc.                   ",NULL
409,210,V11100079 ,2,160,230,8000,950,moçambique                                        ,NULL
410,211,E1110823A ,5,40,60,34718,1356,National Contracting Co. Ltd                      ,NULL
416,214,V11100077 ,1,160,230,10000,3000,moçambique                                        ,NULL
417,214,V11100077 ,2,160,230,10000,3000,moçambique                                        ,NULL
418,215,E1110869A ,5,160,230,79370,5202,"Red Eléctrica de España, S.A.U.                   ",NULL
419,215,E1110903A ,2,26,138,19339,541,"Gas Natural SDG, S.A.                             ",NULL
423,217,V11100066 ,2,97,230,63434,3209,moçambique                                        ,NULL
426,219,E1110870A ,5,80,132,68182,3279,"Red Eléctrica de España, S.A.U.                   ",NULL
427,220,ANULADO   ,5,20,132,30000,2000,Service                                           ,NULL
429,222,E1110844A ,1,50,138,21309,1355,***********************************               ,NULL
433,226,E1110394B ,5,50,225,44500,2270,Iberdrola Distribución Electrica                  ,NULL
372,188,E1110828A ,5,200,230,95000,3802,"Corporación Eléctrica Nacional, S.A               ",NULL
380,194,E1110828A ,5,200,230,95000,3802,"Corporación Eléctrica Nacional, S.A               ",NULL
395,203,E1110616A ,4,10,63,499,499,"Efacec Engenharia e Sistemas, S.A.                ",NULL
396,203,E1110616B ,4,10,63,12492,499,"Efacec Engenharia e Sistemas, S.A.                ",NULL
397,203,E1110881A ,4,120,220,91638,4659,"ENERGOINVEST DD, SARAJEVO                         ",NULL
411,212,E1110829A ,5,200,230,95000,3802,"Corporación Eléctrica Nacional, S.A               ",NULL
412,212,V11100078 ,1,160,230,800,950,mocambique                                        ,NULL
413,212,V11100078 ,2,60,230,800,950,moçambique                                        ,NULL
422,217,V11100066 ,1,97,230,63434,3209,moçambique                                        ,NULL
428,221,E1110882A ,5,120,220,91638,4659,"ENERGOINVEST DD, SARAJEVO                         ",NULL
439,231,E1110938A ,5,25,45,22000,850,"Union Fenosa Distribucion, S.A.                   ",NULL
446,236,E1110947A ,5,28,63,20936,699,CME - Construção e Manutenção                     ,NULL
447,236,E1110948A ,5,28,63,20936,699,CME - Construção e Manutenção                     ,NULL
448,237,E1110888A ,5,40,60,34721,1356,E.I.P. Electricidade Industrial                   ,NULL
450,239,E1110896A ,5,67,110,35067,1720,Saudi Services for Electro                        ,NULL
451,239,E1110897A ,5,67,110,35067,1720,Saudi Services for Electro                        ,NULL
434,227,E1110923A ,5,60,220,44522,2256,Electra Ltd.                                      ,NULL
437,229,E1110844A ,5,50,138,21309,1355,Oncor                                             ,NULL
441,233,E1110904A ,5,26,138,19339,541,"Gas Natural SDG, S.A.                             ",NULL
442,233,E1110905A ,5,26,138,19339,541,"Gas Natural SDG, S.A.                             ",NULL
443,233,E1110906A ,5,26,138,19339,541,"Gas Natural SDG, S.A.                             ",NULL
445,235,E1110919A ,5,30,138,14598,657,costa rica                                        ,NULL
449,238,E1110924A ,5,80,227,52737,3285,CEA Grenoble                                      ,NULL
454,242,E1110886A ,5,120,220,91638,4659,E.I.P. Electricidade Industrial                   ,NULL
456,244,E1110887A ,5,120,220,91638,4659,E.I.P. Electricidade Industrial                   ,NULL
458,246,E1110943A ,5,50,115,29315,1241,Edemet S.A                                        ,NULL
460,247,E1110940A ,5,25,45,22000,850,"Union Fenosa Distribucion, S.A.                   ",NULL
990,673,V1111402A ,5,40,227,17567,1608,"Efacec Energia-Maq.Eq.Electricos,SA               ",NULL
463,249,E1110895A ,5,100,235,84632,4557,RTE Réseau de Transport                           ,NULL
464,249,E1110941A ,5,90,132,48243,1855,Scottish and Southern Energy plc                  ,NULL
465,250,E1110932A ,5,67,132,38031,1732,Saudi Services for Electro                        ,NULL
466,251,E1110933A ,5,67,132,38031,1732,Saudi Services for Electro                        ,NULL
292,140,E1110802A ,5,120,220,91638,4659,Matelec s.a.l                                     ,NULL
324,158,E1110871A ,5,72,110,38393,1757,SunPower Systems Sarl                             ,NULL
348,173,E1110848A ,5,28,115,23778,925,EL SALVADOR                                       ,NULL
430,223,E1110921A ,5,60,230,21912,1072,PSEG                                              ,NULL
432,225,E1110394B ,5,50,225,44500,2270,Iberdrola Distribución Electrica                  ,NULL
435,228,E1110616C ,5,10,63,12492,499,"Efacec Engenharia e Sistemas, S.A.                ",NULL
436,228,E1110616D ,5,10,63,12492,499,"Efacec Engenharia e Sistemas, S.A.                ",NULL
444,234,V11100085 ,5,20,132,35000,2000,Iberdrola Distribución Electrica                  ,NULL
452,240,E1110898A ,5,67,110,35067,1720,Saudi Services for Electro                        ,NULL
455,243,E1110886A ,5,120,220,91638,4659,E.I.P. Electricidade Industrial                   ,NULL
457,245,E1110893A ,5,126,220,81604,3684,"Ren-Rede Eléctrica Nacional,SA.                   ",NULL
468,253,E1110934A ,5,67,132,38031,1732,Saudi Services for Electro                        ,NULL
470,255,E1110893A ,5,126,220,81604,3684,"Ren-Rede Eléctrica Nacional,SA.                   ",NULL
471,255,E1110965A ,5,25,60,21600,855,"Continental Mabor-Ind. de Pneus,SA                ",NULL
478,259,E1110972A ,5,50,225,39871,1924,Iberdrola Distribución Electrica                  ,NULL
480,241,V11100085 ,5,20,132,35000,2000,Iberdrola Distribución Electrica                  ,NULL
303,146,E1110827A ,5,200,230,95000,3802,"Corporación Eléctrica Nacional, S.A               ",NULL
304,146,E1110759A ,5,45,115,28951,1421,"Efacec Power Transformers, Inc.                   ",NULL
305,146,E1110807A ,5,17,69,11436,571,"Efacec Power Transformers, Inc.                   ",NULL
351,175,E1110822A ,5,40,60,34718,1356,National Contracting Co. Ltd                      ,NULL
352,175,E1110864A ,5,90,33,43636,1849,Scottish and Southern Energy plc                  ,NULL
354,177,E1110812A ,5,120,220,91638,4659,National Contracting Co. Ltd                      ,NULL
362,181,E1110813A ,5,120,220,91638,4659,National Contracting Co. Ltd                      ,NULL
371,187,E1110828A ,4,200,230,95000,3802,"Corporación Eléctrica Nacional, S.A               ",NULL
378,192,E1110843A ,5,36,138,16000,766,select nama:ef01 from tccom100 where bpi          ,NULL
414,213,V11100077 ,1,160,230,10000,3000,moçambique                                        ,NULL
415,213,V11100077 ,2,160,230,10000,3000,moçambique                                        ,NULL
420,216,E1110830A ,5,200,230,95000,3802,"Corporación Eléctrica Nacional, S.A               ",NULL
421,216,E1110883A ,5,40,60,24508,756,Algérienne des Fonderies de Tiaret                ,NULL
431,224,E1110885A ,5,120,220,91638,4659,E.I.P. Electricidade Industrial                   ,NULL
438,230,E1110893A ,5,126,220,81604,3684,"Ren-Rede Eléctrica Nacional,SA.                   ",NULL
453,241,E1110889A ,5,40,60,34721,1356,E.I.P. Electricidade Industrial                   ,NULL
440,232,E1110924A ,5,80,227,52737,3285,CEA Grenoble                                      ,NULL
459,247,E1110939A ,5,25,45,22000,850,"Union Fenosa Distribucion, S.A.                   ",NULL
467,252,E1110934A ,5,67,132,38031,1732,Saudi Services for Electro                        ,NULL
481,260,E1110902A ,5,10,138,9756,542,"ENERGOINVEST DD, SARAJEVO                         ",NULL
482,261,V11100088 ,2,160,275,105553,5543,EDM Matola                                        ,NULL
484,263,E1110975A ,5,50,220,27576,1425,"Eiffage Energia, S.L.U.                           ",NULL
485,263,E1110976A ,5,50,220,27576,1425,"Eiffage Energia, S.L.U.                           ",NULL
486,264,E1110954A ,5,26,63,18335,589,"Efacec Engenharia e Sistemas, S.A.                ",NULL
487,265,E1110968A ,4,170,220,92730,4393,"Ren-Rede Eléctrica Nacional,SA.                   ",NULL
488,265,E1110942A ,4,350,345,134458,5110,"Efacec USA, Inc.                                  ",NULL
490,267,E1110853A ,4,170,220,126304,5838,RTE Réseau de Transport                           ,NULL
498,273,E1110952A ,4,44,63,25733,789,"Efacec Engenharia e Sistemas, S.A.                ",NULL
499,273,E1110953A ,5,44,63,25733,789,"Efacec Engenharia e Sistemas, S.A.                ",NULL
502,276,E1110959A ,4,120,132,77901,3128,Scottish and Southern Energy plc                  ,NULL
503,277,E1110960A ,5,90,132,64599,2493,Scottish and Southern Energy plc                  ,NULL
506,279,E1110969A ,5,170,220,92730,4393,"Ren-Rede Eléctrica Nacional,SA.                   ",NULL
462,248,E1110895A ,4,100,235,84632,4557,RTE Réseau de Transport                           ,NULL
472,256,E1110892A ,5,50,115,43000,1678,"Elektra Noreste, S.A.                             ",NULL
473,257,E1110951A ,5,16,6,18675,941,Iberdrola Generación S.A.                         ,NULL
474,257,E1110922A ,5,40,220,33622,1548,"Efacec Engenharia e Sistemas, S.A.                ",NULL
475,258,E1110907A ,5,26,138,19339,541,"Gas Natural SDG, S.A.                             ",NULL
476,258,E1110908A ,5,26,138,19339,541,"Gas Natural SDG, S.A.                             ",NULL
477,258,E1110909A ,5,26,138,19339,541,"Gas Natural SDG, S.A.                             ",NULL
483,262,V11100088 ,2,160,275,105553,5543,EDM Matola                                        ,NULL
489,266,E1110973A ,4,75,230,71687,4125,"Transnet, S.A.                                    ",NULL
501,275,E1110973A ,5,75,230,71687,4125,"Transnet, S.A.                                    ",NULL
507,280,V11100092 ,4,160,230,14600,1100,Mocambique                                        ,NULL
508,280,V11100093 ,4,160,230,14600,11000,Mocambique                                        ,NULL
511,282,E1110961A ,5,200,232,114859,3879,Iberdrola Ingeniería y Construcción               ,NULL
513,284,E1110961A ,5,200,232,114859,3879,Iberdrola Ingeniería y Construcción               ,NULL
515,286,E1110986A ,5,47,138,20813,1324,ONCOR EUA                                         ,NULL
539,302,E1110990A ,5,83,230,45672,1916,Andritz Hydro GmbH                                ,NULL
469,254,E1110956A ,5,26,63,18335,589,"Efacec Engenharia e Sistemas, S.A.                ",NULL
